Image Name,Height,Width,Ratio
disgust/images - 2020-11-05T231218.769_face.png,7.071,40.112,5.673
disgust/images - 2020-11-05T231219.438_face.png,7.28,39.205,5.385
disgust/images - 2020-11-05T231220.802_face.png,13.0,44.0,3.385
disgust/images - 2020-11-05T231222.994_face.png,6.576,37.014,5.628
disgust/images - 2020-11-05T231223.880_face.png,10.5,36.0,3.429
disgust/images - 2020-11-05T231224.822_face.png,12.093,44.283,3.662
disgust/images - 2020-11-05T231225.235_face.png,8.515,41.049,4.821
disgust/images - 2020-11-05T231226.415_face.png,8.559,38.118,4.454
disgust/images - 2020-11-05T231227.374_face.png,9.055,29.069,3.21
disgust/images - 2020-11-05T231229.649_face.png,10.0,44.0,4.4
disgust/images - 2020-11-05T231231.506_face.png,6.185,37.054,5.991
disgust/images - 2020-11-05T231231.940_face.png,7.28,39.115,5.373
disgust/images - 2020-11-05T231232.645_face.png,9.552,40.012,4.189
disgust/images - 2020-11-05T231234.123_face.png,7.517,41.195,5.48
disgust/images - 2020-11-05T231234.820_face.png,11.511,39.115,3.398
disgust/images - 2020-11-05T231235.465_face.png,7.159,38.21,5.337
disgust/images - 2020-11-05T231237.788_face.png,5.385,39.205,7.28
disgust/2Q__ (4)_face.png,12.5,43.012,3.441
disgust/images - 2020-11-05T231238.943_face.png,4.031,37.014,9.182
disgust/images - 2020-11-05T231239.171_face.png,4.0,39.013,9.753
disgust/images - 2020-11-05T231239.846_face.png,7.762,34.366,4.427
disgust/images - 2020-11-05T231242.774_face.png,12.01,37.054,3.085
disgust/images - 2020-11-05T231245.479_face.png,4.528,36.014,7.954
disgust/images - 2020-11-05T231246.642_face.png,8.0,39.0,4.875
disgust/images - 2020-11-05T231247.539_face.png,8.062,40.112,4.975
disgust/images - 2020-11-05T231248.255_face.png,5.5,41.0,7.455
disgust/images - 2020-11-05T231248.684_face.png,8.5,40.0,4.706
disgust/images - 2020-11-05T231248.876_face.png,10.05,41.195,4.099
disgust/images - 2020-11-05T231249.195_face.png,9.055,42.048,4.643
disgust/images - 2020-11-05T231249.546_face.png,7.159,41.304,5.77
disgust/images - 2020-11-05T231250.765_face.png,6.083,40.112,6.594
disgust/images - 2020-11-05T231251.647_face.png,8.0,44.0,5.5
disgust/images - 2020-11-05T231251.870_face.png,6.0,37.014,6.169
disgust/images - 2020-11-05T231252.820_face.png,2.828,34.366,12.15
disgust/images - 2020-11-05T231255.786_face.png,6.519,38.0,5.829
disgust/images - 2020-11-05T231256.471_face.png,6.519,42.048,6.45
disgust/images - 2020-11-05T231257.933_face.png,5.59,37.121,6.64
disgust/images - 2020-11-05T231259.743_face.png,4.61,40.2,8.72
disgust/images - 2020-11-05T231302.820_face.png,6.185,41.304,6.678
disgust/images - 2020-11-05T231303.335_face.png,8.062,37.0,4.589
disgust/images - 2020-11-05T231303.828_face.png,5.22,42.012,8.048
disgust/images - 2020-11-05T231304.291_face.png,8.016,41.0,5.115
disgust/images - 2020-11-05T231305.684_face.png,13.583,41.11,3.027
disgust/images - 2020-11-05T231306.622_face.png,7.517,36.222,4.819
disgust/images - 2020-11-05T231312.564_face.png,13.0,42.012,3.232
disgust/images - 2020-11-05T231312.820_face.png,8.0,34.132,4.267
disgust/images - 2020-11-05T231313.791_face.png,11.511,42.0,3.649
disgust/images - 2020-11-05T231314.765_face.png,4.031,42.107,10.445
disgust/images - 2020-11-05T231317.806_face.png,10.689,37.054,3.467
disgust/images - 2020-11-05T231321.589_face.png,12.54,22.023,1.756
disgust/images - 2020-11-05T231325.218_face.png,9.055,40.05,4.423
disgust/images - 2020-11-05T231329.590_face.png,3.64,41.11,11.294
disgust/images - 2020-11-05T231332.363_face.png,10.548,39.115,3.708
disgust/images - 2020-11-05T231334.008_face.png,5.0,41.012,8.202
disgust/images - 2020-11-05T231334.932_face.png,5.099,35.355,6.934
disgust/images - 2020-11-05T231337.592_face.png,6.576,34.059,5.179
disgust/images - 2020-11-05T231338.048_face.png,7.5,44.102,5.88
disgust/images - 2020-11-05T231339.079_face.png,8.139,38.118,4.683
disgust/images - 2020-11-05T231339.979_face.png,12.748,42.755,3.354
disgust/images - 2020-11-05T231340.426_face.png,9.513,40.012,4.206
disgust/images - 2020-11-05T231344.298_face.png,10.012,42.012,4.196
disgust/images - 2020-11-05T231350.730_face.png,11.281,37.483,3.323
disgust/images - 2020-11-05T231357.975_face.png,10.548,37.216,3.528
disgust/images - 2020-11-05T231400.090_face.png,10.0,39.013,3.901
disgust/images - 2020-11-05T231401.345_face.png,9.708,42.426,4.37
disgust/images - 2020-11-05T231405.662_face.png,5.0,40.05,8.01
disgust/images - 2020-11-05T231409.987_face.png,6.325,34.234,5.413
disgust/images - 2020-11-05T231410.477_face.png,10.0,39.013,3.901
disgust/images - 2020-11-05T231411.002_face.png,8.062,39.0,4.837
disgust/images - 2020-11-05T231419.670_face.png,4.031,42.107,10.445
disgust/images - 2020-11-05T231420.345_face.png,5.099,36.125,7.085
